Please provide a delta value: 
i,	x[i],	Artanh1_x[i],	Artanh2_x[i],	difference
0,	-0.900000,	-1.329426,	-1.472219,	-1.427933610e-01
1,	-0.890000,	-1.299858,	-1.421926,	-1.220673942e-01
2,	-0.880000,	-1.271086,	-1.375768,	-1.046817118e-01
3,	-0.870000,	-1.189185,	-1.333080,	-1.438944456e-01
4,	-0.860000,	-1.166104,	-1.293345,	-1.272406019e-01
5,	-0.850000,	-1.143449,	-1.256153,	-1.127034162e-01
6,	-0.840000,	-1.121210,	-1.221174,	-9.996312920e-02
7,	-0.830000,	-1.099376,	-1.188136,	-8.875992487e-02
8,	-0.820000,	-1.077937,	-1.156817,	-7.888016262e-02
9,	-0.810000,	-1.056883,	-1.127029,	-7.014633803e-02
10,	-0.800000,	-1.036203,	-1.098612,	-6.240962200e-02
11,	-0.790000,	-1.015887,	-1.071432,	-5.554422275e-02
12,	-0.780000,	-0.995927,	-1.045371,	-4.944306111e-02
13,	-0.770000,	-0.976313,	-1.020328,	-4.401440852e-02
14,	-0.760000,	-0.957036,	-0.996215,	-3.917924149e-02
15,	-0.750000,	-0.938086,	-0.972955,	-3.486913703e-02
16,	-0.740000,	-0.919455,	-0.950479,	-3.102458145e-02
17,	-0.730000,	-0.901134,	-0.928727,	-2.759359905e-02
18,	-0.720000,	-0.883114,	-0.907645,	-2.453063068e-02
19,	-0.710000,	-0.865388,	-0.887184,	-2.179560957e-02
20,	-0.700000,	-0.847947,	-0.867301,	-1.935319436e-02
21,	-0.690000,	-0.830784,	-0.847956,	-1.717212824e-02
22,	-0.680000,	-0.813889,	-0.829114,	-1.522470028e-02
23,	-0.670000,	-0.797257,	-0.810743,	-1.348629000e-02
24,	-0.660000,	-0.755832,	-0.792814,	-3.698163187e-02
25,	-0.650000,	-0.741542,	-0.775299,	-3.375703954e-02
26,	-0.640000,	-0.727381,	-0.758174,	-3.079241135e-02
27,	-0.630000,	-0.713349,	-0.741416,	-2.806714408e-02
28,	-0.620000,	-0.699443,	-0.725005,	-2.556242109e-02
29,	-0.610000,	-0.685660,	-0.708921,	-2.326102609e-02
30,	-0.600000,	-0.672000,	-0.693147,	-2.114718056e-02
31,	-0.590000,	-0.658460,	-0.677666,	-1.920640109e-02
32,	-0.580000,	-0.645037,	-0.662463,	-1.742537404e-02
33,	-0.570000,	-0.631731,	-0.647523,	-1.579184483e-02
34,	-0.560000,	-0.618539,	-0.632833,	-1.429452000e-02
35,	-0.550000,	-0.605458,	-0.618381,	-1.292298024e-02
36,	-0.540000,	-0.592488,	-0.604156,	-1.166760296e-02
37,	-0.530000,	-0.579626,	-0.590145,	-1.051949317e-02
38,	-0.520000,	-0.566869,	-0.576340,	-9.470421636e-03
39,	-0.510000,	-0.554217,	-0.562730,	-8.512769352e-03
40,	-0.500000,	-0.541667,	-0.549306,	-7.639477667e-03
41,	-0.490000,	-0.529216,	-0.536060,	-6.844003277e-03
42,	-0.480000,	-0.516864,	-0.522984,	-6.120277591e-03
43,	-0.470000,	-0.504608,	-0.510070,	-5.462669947e-03
44,	-0.460000,	-0.492445,	-0.497311,	-4.865954239e-03
45,	-0.450000,	-0.480375,	-0.484700,	-4.325278594e-03
46,	-0.440000,	-0.468395,	-0.472231,	-3.836137754e-03
47,	-0.430000,	-0.456502,	-0.459897,	-3.394347879e-03
48,	-0.420000,	-0.444696,	-0.447692,	-2.996023527e-03
49,	-0.410000,	-0.432974,	-0.435611,	-2.637556570e-03
50,	-0.400000,	-0.421333,	-0.423649,	-2.315596860e-03
51,	-0.390000,	-0.409773,	-0.411800,	-2.027034479e-03
52,	-0.380000,	-0.398291,	-0.400060,	-1.768983389e-03
53,	-0.370000,	-0.386884,	-0.388423,	-1.538766385e-03
54,	-0.360000,	-0.375552,	-0.376886,	-1.333901188e-03
55,	-0.350000,	-0.364292,	-0.365444,	-1.152087605e-03
56,	-0.340000,	-0.353101,	-0.354093,	-9.911956289e-04
57,	-0.330000,	-0.341979,	-0.342828,	-8.492544154e-04
58,	-0.320000,	-0.330923,	-0.331647,	-7.244420385e-04
59,	-0.310000,	-0.319930,	-0.320545,	-6.150759686e-04
60,	-0.300000,	-0.309000,	-0.309520,	-5.196042031e-04
61,	-0.290000,	-0.298130,	-0.298566,	-4.365969935e-04
62,	-0.280000,	-0.287317,	-0.287682,	-3.647391184e-04
63,	-0.270000,	-0.276561,	-0.276864,	-3.028226551e-04
64,	-0.260000,	-0.265859,	-0.266108,	-2.497402070e-04
65,	-0.250000,	-0.255208,	-0.255413,	-2.044785497e-04
66,	-0.240000,	-0.244608,	-0.244774,	-1.661126594e-04
67,	-0.230000,	-0.234056,	-0.234189,	-1.338000927e-04
68,	-0.220000,	-0.223549,	-0.223656,	-1.067756885e-04
69,	-0.210000,	-0.213087,	-0.213171,	-8.434656486e-05
70,	-0.200000,	-0.202667,	-0.202733,	-6.588738742e-05
71,	-0.190000,	-0.192286,	-0.192337,	-5.083588621e-05
72,	-0.180000,	-0.181944,	-0.181983,	-3.868860071e-05
73,	-0.170000,	-0.171638,	-0.171667,	-2.899683391e-05
74,	-0.160000,	-0.161365,	-0.161387,	-2.136279819e-05
75,	-0.150000,	-0.151125,	-0.151140,	-1.543593647e-05
76,	-0.140000,	-0.140915,	-0.140926,	-1.090940383e-05
77,	-0.130000,	-0.130732,	-0.130740,	-7.516695545e-06
78,	-0.120000,	-0.120576,	-0.120581,	-5.028408444e-06
79,	-0.110000,	-0.110444,	-0.110447,	-3.249123430e-06
80,	-0.100000,	-0.100333,	-0.100335,	-2.014397742e-06
81,	-0.090000,	-0.090243,	-0.090244,	-1.187856147e-06
82,	-0.080000,	-0.080171,	-0.080171,	-6.583709231e-07
83,	-0.070000,	-0.070114,	-0.070115,	-3.373209917e-07
84,	-0.060000,	-0.060072,	-0.060072,	-1.559210316e-07
85,	-0.050000,	-0.050042,	-0.050042,	-6.261182460e-08
86,	-0.040000,	-0.040000,	-0.040021,	-2.135383677e-05
87,	-0.030000,	-0.030000,	-0.030009,	-9.004863126e-06
88,	-0.020000,	-0.020000,	-0.020003,	-2.667306850e-06
89,	-0.010000,	-0.010000,	-0.010000,	-3.333533348e-07
90,	0.000000,	0.000000,	0.000000,	0.000000000e+00
91,	0.010000,	0.010000,	0.010000,	3.333533348e-07
92,	0.020000,	0.020000,	0.020003,	2.667306850e-06
